"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"KU12856_papuana",12.0566942640134,-0.77839118190266,-6.10100702985145,-0.123405194660336,-2.58602379494512,-2.05403455217933,-2.43764015791784,-1.31022532849457,2.65086734092286,1.15575251758254,-1.09965883474638,-3.3271942913459,1.41368010962953,9.17064210561014,-4.36930660482134,4.70771119701021,-9.72851295809931,0.441810834773094,0.859478704198625,2.55365260465813,7.08624698013197,-0.7020659613979,-68.6314914370105,-2.83128609532973e-13
"KU14618_papuana",19.4508508398927,12.864227672889,-25.5456761715201,4.28391502655248,-15.0362043777288,-8.16788172203492,-6.88386959908853,19.064076032808,-43.4068890457998,-40.7377665862353,10.6190340659646,25.2329466741491,-0.633617710636529,-3.63119406273489,4.60082980150955,-3.97238280939979,6.05127820995813,-2.12029961873036,-0.967422339758357,1.4595379438068,-7.83855910369739,1.01721204700496,2.16061858374501,4.08009184164199e-13
"KU14621_papuana",15.6323537585221,-0.824349742070748,-13.7433932714675,-1.87235298741295,0.653852429285603,-2.66867773407359,-4.71859130971059,-10.8166930423771,11.9437404789085,7.31624399041028,12.8877238083232,-4.85418507269249,9.11905828235604,17.6790447453569,-39.4814627784848,7.63774121855906,49.9524563706121,-17.3434021105932,5.55268734374304,5.4039658870863,-6.39758579117326,-6.06847940581831,4.98106912212053,-9.08433484686499e-13
"KU14622_papuana",14.1276430587455,1.98692808623682,-8.06555423285653,3.48359678345991,3.40323060916199,-0.405039702697297,9.26629036386266,0.336998218106385,14.2047786270677,13.9215592928542,14.3340328351449,7.16460819745764,-32.0488555016727,36.6497157404806,47.9539658097876,3.21242308281927,13.4514884250865,4.48242981477912,2.23492647485203,-9.05782489591784,-5.29767909877136,1.18685234966576,3.97407608616251,-6.79507502782811e-13
"KU14624_papuana",22.9630218473098,1.31071744198053,-17.7549932219817,-10.3877278343862,-3.6844698255035,-7.42609502378661,-2.05636971195582,-8.81709771136962,-8.65857355274783,22.7019165763397,-53.074246496972,-7.28577748740841,21.5919292157959,-15.9072293205665,24.3096694874188,-11.2191678402382,12.3719345858799,-7.32059104607081,3.62828800441363,2.24842650789348,-0.356118593244863,3.1946832971331,3.72135052972852,-1.31301057266359e-13
"KU16064_papuana",13.7684837110229,11.668190825688,-18.6839935015621,-1.56150500775881,0.0188321306370885,-6.75072472651416,-7.84764205062203,24.6402649155738,40.8284693779835,-4.60536414894339,18.4622372836688,-20.7751500017994,-11.8762229188158,-42.802542655183,4.43264554286264,-6.89001033616537,-7.08790618920307,-6.08975817168354,-4.27110728947189,4.66007786696805,-12.0298321867571,-5.86336909643624,2.00575446608481,-8.89348273844237e-14
"KU16434_papuana",14.220656936155,-0.973550695297051,-5.86836937931951,-5.50986644243001,-1.62641028732458,-1.72261181617637,-2.30064198883503,-4.39921032214216,-1.04619096823598,7.48729638796443,0.768588645793575,-4.4967788602687,-1.67537162165552,15.0833914983303,-24.0915473947289,-28.8865271685821,-31.2579469468591,1.18490168194809,25.9196650434038,-42.5371004135838,-13.5823578461481,4.85431121432965,8.53803817143008,-2.44325067989826e-13
"KU5270_papuana",18.2442522711081,-1.05858645551977,-7.44530897368463,-7.18606302611077,-1.1209373319873,-8.99732914982045,1.74483867461966,-12.6844491102866,0.527877477084111,4.5291218868428,-3.78640685002997,-2.95912276290843,6.53523281907102,18.5213058787661,-11.9983209445147,10.5366230362463,-26.8585329994429,27.7266280140988,-39.6287342639444,20.1045051436728,-14.1221303570344,-24.2180102245324,12.7775070635964,-6.46180700093757e-14
"KU5274_papuana",15.4728811118947,2.46051353954624,-11.3296661850219,-2.78482550040091,-0.343165580408493,-3.15272955166628,-3.07291939111294,5.18719492120832,4.46367515942797,1.38463956426164,3.77094093079613,-2.45905056062779,-4.24364059407657,4.17895847707097,-9.16513181819399,10.7490216389691,-12.6583783413842,9.07781445028788,10.3553306542907,12.2943623885981,61.0625346923121,20.996570168248,15.5450116141693,4.13579055984908e-13
"YPM151655_papuana",46.8585308841503,-3.95560344002479,59.7524309285828,25.651654989064,8.37034927400815,16.1349488137762,-4.45074576699797,2.05803529618668,-3.43368711580879,-4.00409214050565,3.2063409152061,1.21156425704449,6.63247037056935,-10.4018253592434,2.6825433525,1.64409682591417,3.2018097518182,-0.409991545609031,-0.916342137783559,-1.47351618714223,-0.614070549045092,-0.298499602304829,2.58944007561084,3.0031749656545e-14
"KU12254_trichroa",-17.6702058790712,0.229030988401203,-13.1113999437104,-3.28453572883406,37.6212761902705,47.3825028566416,-47.5973953738767,1.1648410784046,-6.26843963937356,2.19012029446258,-1.19115460557288,3.32755486942446,0.425869630096337,2.7747234840867,3.80861867654101,-4.85647563587379,-1.00787471908322,4.28836934350263,-1.83426831912147,4.32498661525621,-1.09044077634663,-3.86961706926187,0.839754019077892,-6.54211927686443e-14
