sample_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	species	lat	long	country
KU12856_papuana	12.05669426401336	-0.77839118190266	-6.101007029851451	-0.12340519466033618	-2.586023794945117	-2.0540345521793326	-2.4376401579178393	-1.3102253284945666	2.6508673409228614	1.1557525175825443	-1.0996588347463805	-3.3271942913459007	1.4136801096295297	9.170642105610142	-4.369306604821342	4.707711197010209	-9.728512958099307	0.4418108347730942	0.8594787041986252	2.553652604658126	7.086246980131967	-0.7020659613978998	-68.63149143701045	-2.8312860953297325e-13	papuana	-6.6944444	145.1066667	png
KU14618_papuana	19.450850839892656	12.86422767288898	-25.54567617152015	4.283915026552481	-15.03620437772876	-8.167881722034922	-6.883869599088532	19.064076032808018	-43.40688904579979	-40.73776658623531	10.61903406596464	25.232946674149133	-0.6336177106365287	-3.63119406273489	4.600829801509554	-3.9723828093997864	6.051278209958126	-2.1202996187303635	-0.9674223397583568	1.4595379438067972	-7.838559103697386	1.0172120470049584	2.1606185837450145	4.080091841641986e-13	papuana	-9.98955	149.4867333	png
KU14621_papuana	15.632353758522125	-0.8243497420707484	-13.743393271467548	-1.8723529874129456	0.6538524292856028	-2.66867773407359	-4.7185913097105905	-10.816693042377121	11.943740478908516	7.316243990410277	12.887723808323155	-4.854185072692488	9.119058282356043	17.67904474535693	-39.48146277848479	7.637741218559059	49.95245637061212	-17.34340211059317	5.5526873437430435	5.403965887086298	-6.397585791173261	-6.0684794058183105	4.981069122120535	-9.084334846864994e-13	papuana	-9.98955	149.4867333	png
KU14622_papuana	14.12764305874548	1.9869280862368242	-8.065554232856526	3.483596783459909	3.403230609161994	-0.4050397026972966	9.266290363862657	0.33699821810638464	14.204778627067723	13.92155929285424	14.334032835144894	7.1646081974576425	-32.04885550167266	36.649715740480566	47.953965809787576	3.212423082819266	13.451488425086524	4.48242981477912	2.2349264748520263	-9.057824895917838	-5.297679098771357	1.186852349665761	3.974076086162513	-6.795075027828112e-13	papuana	-9.98955	149.4867333	png
KU14624_papuana	22.96302184730984	1.3107174419805343	-17.754993221981657	-10.387727834386249	-3.684469825503502	-7.426095023786607	-2.056369711955824	-8.817097711369623	-8.658573552747834	22.701916576339748	-53.07424649697201	-7.285777487408411	21.591929215795943	-15.907229320566495	24.30966948741878	-11.219167840238194	12.371934585879938	-7.3205910460708115	3.6282880044136263	2.248426507893477	-0.35611859324486317	3.1946832971331025	3.721350529728523	-1.3130105726635866e-13	papuana	-9.98955	149.4867333	png
KU16064_papuana	13.768483711022906	11.668190825688027	-18.683993501562064	-1.5615050077588095	0.018832130637088468	-6.750724726514158	-7.847642050622033	24.640264915573766	40.82846937798354	-4.605364148943387	18.46223728366878	-20.775150001799407	-11.876222918815841	-42.80254265518296	4.4326455428626375	-6.890010336165372	-7.0879061892030695	-6.089758171683544	-4.271107289471894	4.660077866968047	-12.029832186757112	-5.863369096436237	2.0057544660848134	-8.893482738442371e-14	papuana	-4.7172667	145.2748167	png
KU16434_papuana	14.220656936154956	-0.973550695297051	-5.868369379319511	-5.509866442430015	-1.6264102873245843	-1.7226118161763688	-2.3006419888350265	-4.399210322142165	-1.0461909682359767	7.487296387964431	0.7685886457935753	-4.496778860268696	-1.6753716216555241	15.083391498330327	-24.091547394728867	-28.886527168582052	-31.25794694685908	1.1849016819480946	25.91966504340381	-42.53710041358384	-13.582357846148103	4.854311214329652	8.538038171430081	-2.4432506798982567e-13	papuana	-9.9895	149.4866667	png
KU5270_papuana	18.244252271108138	-1.0585864555197724	-7.445308973684634	-7.18606302611077	-1.1209373319872964	-8.997329149820454	1.7448386746196562	-12.68444911028663	0.5278774770841113	4.529121886842802	-3.786406850029969	-2.959122762908434	6.535232819071016	18.521305878766125	-11.998320944514653	10.536623036246281	-26.8585329994429	27.72662801409881	-39.62873426394439	20.10450514367277	-14.122130357034425	-24.218010224532428	12.777507063596387	-6.46180700093757e-14	papuana	-6.598324	145.275345	png
KU5274_papuana	15.472881111894678	2.4605135395462447	-11.329666185021877	-2.784825500400912	-0.34316558040849265	-3.1527295516662757	-3.0729193911129378	5.187194921208321	4.463675159427965	1.3846395642616371	3.7709409307961286	-2.4590505606277944	-4.2436405940765685	4.178958477070974	-9.165131818193995	10.749021638969094	-12.658378341384193	9.077814450287878	10.355330654290743	12.294362388598058	61.062534692312134	20.99657016824805	15.545011614169328	4.135790559849084e-13	papuana	-6.598324	145.275345	png
YPM151655_papuana	46.858530884150305	-3.955603440024788	59.75243092858279	25.651654989064003	8.370349274008152	16.134948813776194	-4.450745766997971	2.058035296186684	-3.4336871158087923	-4.0040921405056515	3.2063409152060967	1.211564257044489	6.632470370569353	-10.401825359243352	2.682543352499997	1.6440968259141675	3.201809751818201	-0.40999154560903117	-0.9163421377835592	-1.4735161871422273	-0.614070549045092	-0.29849960230482914	2.5894400756108418	3.003174965654498e-14	papuana	-9.053	147.602	png
KU12254_trichroa	-17.67020587907124	0.22903098840120328	-13.111399943710401	-3.2845357288340598	37.621276190270514	47.382502856641565	-47.59739537387668	1.1648410784046015	-6.268439639373565	2.190120294462576	-1.1911546055728819	3.327554869424456	0.4258696300963372	2.774723484086698	3.8086186765410135	-4.856475635873793	-1.0078747190832151	4.288369343502635	-1.8342683191214728	4.324986615256206	-1.0904407763466295	-3.8696170692618725	0.8397540190778916	-6.542119276864433e-14	trichroa	-4.7172667	145.2748167	png
KU12301_trichroa	-21.406884983130436	73.17753170383791	26.08946783220255	-13.444808038709498	-7.007244056483552	-9.135229949909956	-5.9825295178863955	-9.021421700199257	0.7998832760071762	0.6240498638888745	-1.7809850980972104	-2.4374437156977717	1.4927873267622902	5.65017938713001	0.1546121002407094	-5.959262302924513	3.7666940418171633	2.587449479218383	0.5720829372470326	1.8972990995246823	2.10551720824602	-0.535735194825208	-0.6455401620014081	1.5247276097946072e-13	trichroa	-4.7172667	145.2748167	png
KU12846_trichroa	-8.026798848286004	-4.544541998155421	4.172942528474963	-4.363551003881629	-1.3879459540036616	0.16139201773504658	3.8895260858756537	-9.293922376703325	-10.109706127356466	-3.5430441624198346	-1.701258173758691	-10.620433157859697	-5.8410649785735576	0.6533575559866858	5.5587660908370244	37.03458656821837	-22.67140307860289	-24.533565749419722	40.977250802601404	23.82755399518369	-16.103096691056685	-13.307337384729509	6.681022400838704	3.168641564410546e-13	trichroa	-6.6944444	145.1066667	png
KU16071_trichroa	-10.585402261952417	-14.194059039013732	8.565525660127136	-3.3140725848956625	-0.5196110841936522	1.8399104975695157	12.265775808450282	-13.341873675247259	-25.390262745926083	-4.820329476207362	-9.551479693067128	-28.097427101401543	-50.491756725135524	-11.744053569009894	-11.640566788433649	-23.598205093215025	13.173581797766454	7.022975091332382	-5.185255365914637	9.708854508565983	5.772365065658979	-6.893820402342592	-1.973772436462158	6.930335211957628e-13	trichroa	-4.7172667	145.2748167	png
KU16075_trichroa	-15.169936947257547	-26.5590768915475	21.788236259320076	-30.393471070978084	-53.63527044237469	9.757734782774053	-22.33035739857497	23.376023874930695	10.038984350525133	4.331936673204374	-2.915707281430612	9.215164874328973	1.6420408637654342	6.618289845350567	1.7700033081765036	-3.4120699699993042	5.015968182617403	4.801182051920244	-0.03117537616963583	3.4115316021166375	-0.7993242743273863	-1.2902633575367972	1.7903918814057156	6.610478223839644e-14	trichroa	-4.7172667	145.2748167	png
KU16086_trichroa	-7.552316370976592	-5.333990991190826	2.660243194450619	-3.6512367121649967	1.7536631823263558	0.29564394399628247	3.6360084696933788	-11.941135215414677	-1.3117738323736108	4.272502665878394	4.2290880666934845	3.5652958986645875	-4.061611044537287	-1.3159361339481312	-4.491367435443126	5.17148625814403	-9.345453933440737	-20.549679464884466	-24.85187121085015	8.79244468573426	-20.260263058218776	59.86103722779358	0.938797234747944	-7.562990489949628e-14	trichroa	-4.7172667	145.2748167	png
KU16234_trichroa	-11.501866112881421	-3.5014214437074753	-1.2740132566723497	-4.14141855251506	3.5992336665038884	-4.342475750281759	1.2011101727120221	-3.311941112467065	-4.035485660655956	-4.033660770915571	-5.166853126727012	-5.730416126944033	-0.5665889053860955	-20.74904345109336	-2.3342312945811887	43.99050640887967	14.93893237046202	38.68709655650187	2.7170532717884863	-35.3682246295138	-6.738896149682764	9.372661517503559	-1.0732362058679954	-6.496073210598974e-14	trichroa	-9.9895	149.4866667	png
KU32805_trichroa	-26.529278843659263	-1.0971172040265564	-8.119834172953611	69.61382106220178	-21.530944705060616	-10.803974085647814	-14.399746790106077	-2.0758540331884476	7.68746599983395	8.774432356406601	-13.08667067864095	5.537453874467629	-2.0872095734094263	2.0435744502662505	-4.35847805380178	-1.7345342406544293	-3.057839473961366	0.7127012408642607	-0.9958942845464902	0.9025004277533604	0.5149915868044397	-2.6458105764407502	2.9078379363491007	-1.8591817538618494e-14	trichroa	-9.6356	160.0585	solomons
KU32819_trichroa	-16.357360507594915	-12.607394332165486	-2.0303029046091	5.099662566988311	-6.074584412344368	4.375171819790234	10.868398090041989	-15.833767833378984	-3.8900840496901408	-21.939181211605643	26.22229449590778	-39.81760175225982	40.09443270635542	7.759809927738308	22.798839251617743	-15.156505574204225	3.201919416942914	4.592971855538221	-0.7281562570959742	-1.6271446961686995	5.999179619007879	1.9444173448171946	1.8975600572476092	3.480750843803948e-13	trichroa	-9.6356	160.0585	solomons
KU34978_trichroa	-10.278814114300747	-3.6910567064447672	1.658318779428965	-6.567696251748121	0.8930748174182079	3.41822252509568	7.2017503751780465	-5.465734553935851	-0.7678610468766688	-5.384191399033817	-3.081287951778644	6.815254447407229	-2.629938360935326	-4.432129233823428	2.799587927865625	13.463601834486287	-6.809217628578566	-43.909399198582186	-31.033973730598422	-33.66233401631901	21.999490071493064	-23.685941716501063	2.910301882812209	-4.44574661372793e-14	trichroa	-10.573	161.899	solomons
KU35027_trichroa	-6.8919610671792	-7.704583270335837	-2.515884361960047	-6.101771982751984	-1.8823029920025312	2.255952926360102	14.242426966794326	-36.985570044453695	2.1685636667354578	18.38563842949343	25.967407109104222	43.54103765282454	5.851896756741393	-29.79300921377922	3.3929949040753704	-14.069784786099314	-0.45412409247722485	9.611301816170814	9.864068860683037	7.652944710830093	4.269001173789741	-8.946540952026476	-2.338877468163803	-8.70227826431369e-14	trichroa	-10.573	161.899	solomons
