sample_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	species	lat	long	country
ANWC_B32623_trichroa	-3.687488258315235	62.47146864030339	-14.70546939550706	2.707182626721021	-6.9528710391697945	13.474811996324878	-51.15981491388672	-18.64861474003375	13.45706877099904	4.18479307002808	-0.7572618309442553	-1.3269494629592842	-1.814166383989466	-1.370660954891573	2.8884221447628886	2.488582607493957	2.1641651589475397	0.3617612966648141	4.244890872013413	-1.0066683506318357	-0.9517280721276602	-3.216450662924201	1.5829292189819755	0.7158828757084144	-1.0555947000819135	0.43180696820794845	4.274590013550461e-12	trichroa	-17.2	145.7	australia
ANWC_B52739_trichroa	-3.1349511729489796	60.30606120674756	-12.37613716551923	10.756375688521299	1.6406423414557714	-11.956447770976459	53.171806770815	22.044777366617467	-11.120379801679496	-2.880118511506678	-1.7476301987087466	-1.607535062402149	-1.5761167915338812	-0.5686511514471028	-0.6447654280272181	-4.419489911916828	-0.31652150315823485	-0.7925789341257194	1.1298140688152576	-0.03759406362524241	0.5496771654328968	-0.2976698775222386	0.0935878371306666	-0.4569312966693355	-1.5496155080032528	-1.4779593076937014	5.117355649474076e-13	trichroa	-16.6	145.3	australia
KU12254_trichroa	-5.04749529399955	-2.2193307242381457	20.244851299567383	-3.145154797003336	-10.580447789446872	-4.708289504576067	25.466886669990007	-27.323374833752542	46.54077118865453	48.27457137512232	-2.026855063743504	7.817080290795763	-3.155900430551736	0.5624175176210893	2.475452906120047	0.9362745060065802	2.3532870557574834	3.6066789616593278	4.674645999135355	1.5682186449821802	-4.133376770227628	-2.2876803530892103	-4.0783937753878305	1.883679398288944	-3.412524199400499	-0.6867019631072012	6.496111157675011e-14	trichroa	-4.7172667	145.2748167	png
KU12301_trichroa	-3.2317792872703532	-6.870872873793035	28.0384511424292	73.38350911219136	15.442366067016083	-12.187845872457995	-13.119559572753612	3.854288802710964	-7.978949625428435	6.090319832000162	9.725495819752508	0.0772159908023614	-0.11783280489207835	1.8659252736622993	-2.575193132869944	-2.5383309096646327	5.039893037496905	0.7128607678083462	5.571795010447707	-3.853131122329853	-2.970480225605204	0.11478576925726695	-2.0544079487082922	-1.9763898562290931	-0.8588669157631267	0.6117961548093214	8.098656836298679e-14	trichroa	-4.7172667	145.2748167	png
KU12846_trichroa	-3.4649411644840997	2.573990530133199	6.183655313007113	-4.112343127527042	3.997460521712002	-3.6798133584509465	-4.680999627492571	-0.10400375275966577	1.2258304097147985	-3.6607331500730016	8.404715413950917	8.810903770848379	2.9789194472094547	0.7069701412600654	-12.209222884569593	2.380733452629772	-1.1724269655861346	6.1180185989341425	-35.00644568606581	18.578762032090243	25.342189739571353	41.610234630656855	-27.50220714391372	21.14116189401237	-9.548139000895604	-6.426527235154135	4.011580564261541e-14	trichroa	-6.6944444	145.1066667	png
KU12856_papuana	-6.098396806628947	-7.186736437611214	-10.57650049842732	-1.2176118874833013	-6.016790669030893	-0.0037836992159524362	0.2144568744314389	2.7098211832881685	-2.2876776661823146	2.541486732521941	1.8411057157857578	-2.957259047732396	-1.3347378395083944	0.9996154147209967	-4.373609944471442	-3.0959924880150473	8.771364780774762	-3.8705917442460818	-4.49719366967193	9.253568026155286	1.2928268505769833	1.1736054312662902	-3.323175909748739	-7.043871816597936	-0.9609140704733716	68.78101517871917	-3.8658751764023003e-13	papuana	-6.6944444	145.1066667	png
KU14618_papuana	-6.389210564243412	-11.110784236633146	-15.777304759776289	9.51707645153673	-27.360096113972997	5.967638829330439	-2.9733272349773228	14.799745854419038	-9.246622306456088	6.1245300616243465	-23.219055860557535	44.37929803004443	39.74797129004287	-6.067500192793877	22.480809463501956	8.196929084878613	-0.4040614427239166	4.423075044785304	3.0232053330845345	-5.5360505676436045	1.3132296637715586	-1.2889509979587974	-0.5414058520347855	7.755911944305779	1.883870158760451	-1.8476945287278195	-6.365522258605649e-13	papuana	-9.98955	149.4867333	png
KU14621_papuana	-5.239858793298025	-10.422808413178114	-13.136714106112313	-2.732675684481318	-14.23923304176001	-0.8202888783127794	0.39294926949417225	-1.0220211411800282	-2.71423359203606	5.09919101818124	12.298207903881101	-10.658539962382582	-4.798039196482552	-13.39034599587392	-4.101121849940885	-11.79437621055987	18.709774613627857	-37.81127707120947	-8.969918000172875	-52.47079730228148	9.58181999524447	4.150366489763806	-4.821940117993888	7.33702052505364	-5.176860080615572	-5.392114994723157	-3.672425861675488e-13	papuana	-9.98955	149.4867333	png
KU14622_papuana	-6.0864594457831815	-9.955541614528695	-11.330627465464687	1.2736111481041354	-7.872528525049456	3.178452607511916	5.413950158725939	-1.6915703330565914	-0.38782513923186956	-9.321056811530752	0.3500910580665657	-15.205754282977066	-11.744541348236003	-14.541454042780662	-6.764205572654967	33.37225799413676	35.6768647953521	48.40886131734887	-1.3757919571564299	-12.340638464243467	-5.712721825027528	2.8345190828549347	9.419779175715439	4.42219072370882	1.6637670900654336	-3.973472240614711	1.2013906037534883e-13	papuana	-9.98955	149.4867333	png
KU14624_papuana	-6.204939812407866	-11.252820674848483	-20.503960037667845	-0.6195348919408342	-18.7607858901678	-9.164458476716671	-4.129746129367442	1.8445384369445261	-6.190446954674141	1.8386821109236446	10.283680384139478	8.412055456594068	-27.538896799576587	51.32939056540279	2.3555067615831646	-19.65827462606865	-19.03635266635215	23.890211570000567	10.33827409099125	-13.704573943990084	5.464743084664291	2.9397354350462352	-2.7079924540616394	-0.19369365199555022	3.171489547778216	-3.8499253252185217	9.728467489054926e-14	papuana	-9.98955	149.4867333	png
