"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27"
"ANWC_B32623_trichroa",-3.68748825831524,62.4714686403034,-14.7054693955071,2.70718262672102,-6.95287103916979,13.4748119963249,-51.1598149138867,-18.6486147400338,13.457068770999,4.18479307002808,-0.757261830944255,-1.32694946295928,-1.81416638398947,-1.37066095489157,2.88842214476289,2.48858260749396,2.16416515894754,0.361761296664814,4.24489087201341,-1.00666835063184,-0.95172807212766,-3.2164506629242,1.58292921898198,0.715882875708414,-1.05559470008191,0.431806968207948,4.27459001355046e-12
"ANWC_B52739_trichroa",-3.13495117294898,60.3060612067476,-12.3761371655192,10.7563756885213,1.64064234145577,-11.9564477709765,53.171806770815,22.0447773666175,-11.1203798016795,-2.88011851150668,-1.74763019870875,-1.60753506240215,-1.57611679153388,-0.568651151447103,-0.644765428027218,-4.41948991191683,-0.316521503158235,-0.792578934125719,1.12981406881526,-0.0375940636252424,0.549677165432897,-0.297669877522239,0.0935878371306666,-0.456931296669336,-1.54961550800325,-1.4779593076937,5.11735564947408e-13
"KU12254_trichroa",-5.04749529399955,-2.21933072423815,20.2448512995674,-3.14515479700334,-10.5804477894469,-4.70828950457607,25.46688666999,-27.3233748337525,46.5407711886545,48.2745713751223,-2.0268550637435,7.81708029079576,-3.15590043055174,0.562417517621089,2.47545290612005,0.93627450600658,2.35328705575748,3.60667896165933,4.67464599913535,1.56821864498218,-4.13337677022763,-2.28768035308921,-4.07839377538783,1.88367939828894,-3.4125241994005,-0.686701963107201,6.49611115767501e-14
"KU12301_trichroa",-3.23177928727035,-6.87087287379303,28.0384511424292,73.3835091121914,15.4423660670161,-12.187845872458,-13.1195595727536,3.85428880271096,-7.97894962542844,6.09031983200016,9.72549581975251,0.0772159908023614,-0.117832804892078,1.8659252736623,-2.57519313286994,-2.53833090966463,5.03989303749691,0.712860767808346,5.57179501044771,-3.85313112232985,-2.9704802256052,0.114785769257267,-2.05440794870829,-1.97638985622909,-0.858866915763127,0.611796154809321,8.09865683629868e-14
"KU12846_trichroa",-3.4649411644841,2.5739905301332,6.18365531300711,-4.11234312752704,3.997460521712,-3.67981335845095,-4.68099962749257,-0.104003752759666,1.2258304097148,-3.660733150073,8.40471541395092,8.81090377084838,2.97891944720945,0.706970141260065,-12.2092228845696,2.38073345262977,-1.17242696558613,6.11801859893414,-35.0064456860658,18.5787620320902,25.3421897395714,41.6102346306569,-27.5022071439137,21.1411618940124,-9.5481390008956,-6.42652723515414,4.01158056426154e-14
"KU12856_papuana",-6.09839680662895,-7.18673643761121,-10.5765004984273,-1.2176118874833,-6.01679066903089,-0.00378369921595244,0.214456874431439,2.70982118328817,-2.28767766618231,2.54148673252194,1.84110571578576,-2.9572590477324,-1.33473783950839,0.999615414720997,-4.37360994447144,-3.09599248801505,8.77136478077476,-3.87059174424608,-4.49719366967193,9.25356802615529,1.29282685057698,1.17360543126629,-3.32317590974874,-7.04387181659794,-0.960914070473372,68.7810151787192,-3.8658751764023e-13
"KU14618_papuana",-6.38921056424341,-11.1107842366331,-15.7773047597763,9.51707645153673,-27.360096113973,5.96763882933044,-2.97332723497732,14.799745854419,-9.24662230645609,6.12453006162435,-23.2190558605575,44.3792980300444,39.7479712900429,-6.06750019279388,22.480809463502,8.19692908487861,-0.404061442723917,4.4230750447853,3.02320533308453,-5.5360505676436,1.31322966377156,-1.2889509979588,-0.541405852034786,7.75591194430578,1.88387015876045,-1.84769452872782,-6.36552225860565e-13
"KU14621_papuana",-5.23985879329803,-10.4228084131781,-13.1367141061123,-2.73267568448132,-14.23923304176,-0.820288878312779,0.392949269494172,-1.02202114118003,-2.71423359203606,5.09919101818124,12.2982079038811,-10.6585399623826,-4.79803919648255,-13.3903459958739,-4.10112184994088,-11.7943762105599,18.7097746136279,-37.8112770712095,-8.96991800017287,-52.4707973022815,9.58181999524447,4.15036648976381,-4.82194011799389,7.33702052505364,-5.17686008061557,-5.39211499472316,-3.67242586167549e-13
"KU14622_papuana",-6.08645944578318,-9.95554161452869,-11.3306274654647,1.27361114810414,-7.87252852504946,3.17845260751192,5.41395015872594,-1.69157033305659,-0.38782513923187,-9.32105681153075,0.350091058066566,-15.2057542829771,-11.744541348236,-14.5414540427807,-6.76420557265497,33.3722579941368,35.6768647953521,48.4088613173489,-1.37579195715643,-12.3406384642435,-5.71272182502753,2.83451908285493,9.41977917571544,4.42219072370882,1.66376709006543,-3.97347224061471,1.20139060375349e-13
"KU14624_papuana",-6.20493981240787,-11.2528206748485,-20.5039600376678,-0.619534891940834,-18.7607858901678,-9.16445847671667,-4.12974612936744,1.84453843694453,-6.19044695467414,1.83868211092364,10.2836803841395,8.41205545659407,-27.5388967995766,51.3293905654028,2.35550676158316,-19.6582746260686,-19.0363526663522,23.8902115700006,10.3382740909913,-13.7045739439901,5.46474308466429,2.93973543504624,-2.70799245406164,-0.19369365199555,3.17148954777822,-3.84992532521852,9.72846748905493e-14
